"","Distance","Rsquare","Number"
"1",10,0.679823260377053,1329
"2",20,0.570588061697152,666
"3",30,0.577578458431281,527
"4",40,0.540982251712917,373
"5",50,0.498107410462357,277
"6",60,0.502626005392329,179
"7",70,0.527736825290938,152
"8",80,0.502902583936485,144
"9",90,0.541536572390573,110
"10",100,0.497857358486407,88
"11",200,0.490468329858977,732
"12",300,0.560119120731217,400
"13",400,0.524728205668278,225
"14",500,0.539794615981375,148
"15",600,0.518098611894622,128
"16",700,0.52093060192988,115
"17",800,0.483082146331891,114
"18",900,0.474808026830644,97
"19",1000,0.487346242343075,76
"20",1100,0.48220445309605,69
"21",1200,0.428504297207823,72
"22",1300,0.48396837176994,71
"23",1400,0.430334976774693,73
"24",1500,0.48847110914584,65
"25",1600,0.474806489736015,53
"26",1700,0.450377693116751,58
"27",1800,0.408822136937704,59
"28",1900,0.455911760795123,57
"29",2000,0.420642704343378,51
"30",2100,0.400452271150009,48
"31",2200,0.490866614872229,38
"32",2300,0.364415701093469,37
"33",2400,0.37234685913412,57
"34",2691,0.479566124835649,142
"35",2891,0.384482118340576,82
"36",3091,0.450292130564417,93
"37",3291,0.493172695972753,70
"38",3821.33333333333,0.386096062540722,184
"39",4321.33333333333,0.446143262802427,149
"40",4821.33333333333,0.497158534635553,124
"41",5982,0.420797258061839,242
"42",6982,0.389202276381234,189
"43",7982,0.3604917338711,165
"44",8982,0.410252032934131,116
