repeats,id,predOf,Trait,Accuracy,Model
1,Fold1,GEBV,BranchlevelNum,0.43226412891856103,Additive
1,Fold1,GEBV,FirstBranchHeight,0.28224899346263804,Additive
1,Fold1,GEBV,PlantHeight,0.26571425126882475,Additive
1,Fold1,GEBV,Cylindrical_type,0.14525081276699311,Additive
1,Fold1,GEBV,Umbrella_type,0.012398046505596415,Additive
1,Fold1,GEBV,Open_type,0.22614230876109054,Additive
1,Fold1,GEBV,Compact_type,0.10892441750044976,Additive
1,Fold2,GEBV,BranchlevelNum,0.44729814126214607,Additive
1,Fold2,GEBV,FirstBranchHeight,0.2786800561633942,Additive
1,Fold2,GEBV,PlantHeight,0.2631209331579413,Additive
1,Fold2,GEBV,Cylindrical_type,0.22968253170829706,Additive
1,Fold2,GEBV,Umbrella_type,0.006953119808743747,Additive
1,Fold2,GEBV,Open_type,0.2987571216132769,Additive
1,Fold2,GEBV,Compact_type,0.0446462992575925,Additive
1,Fold3,GEBV,BranchlevelNum,0.44082155090656744,Additive
1,Fold3,GEBV,FirstBranchHeight,0.24818651951867537,Additive
1,Fold3,GEBV,PlantHeight,0.21810897630560172,Additive
1,Fold3,GEBV,Cylindrical_type,0.09768353360405034,Additive
1,Fold3,GEBV,Umbrella_type,0.016636336525390698,Additive
1,Fold3,GEBV,Open_type,0.14683567390655775,Additive
1,Fold3,GEBV,Compact_type,0.010446819091939213,Additive
1,Fold4,GEBV,BranchlevelNum,0.4395196629606835,Additive
1,Fold4,GEBV,FirstBranchHeight,0.2788393982295501,Additive
1,Fold4,GEBV,PlantHeight,0.25769227568164843,Additive
1,Fold4,GEBV,Cylindrical_type,0.07884883016878357,Additive
1,Fold4,GEBV,Umbrella_type,0.09321423203173389,Additive
1,Fold4,GEBV,Open_type,0.3652983956048165,Additive
1,Fold4,GEBV,Compact_type,-0.054507657336931054,Additive
1,Fold5,GEBV,BranchlevelNum,0.4383881833103063,Additive
1,Fold5,GEBV,FirstBranchHeight,0.20505651498493804,Additive
1,Fold5,GEBV,PlantHeight,0.27364187080929436,Additive
