"","programName","trialType","Trait","variable","n","mean","sd"
"1","IITA","AYT","BranchlevelNum","ArchiValue",1751,2.738,1.272
"2","IITA","CET","BranchlevelNum","ArchiValue",3170,2.121,1.428
"3","IITA","PYT","BranchlevelNum","ArchiValue",5516,2.378,1.289
"4","IITA","UYT","BranchlevelNum","ArchiValue",1924,2.746,1.138
"5","NRCRI","CET","BranchlevelNum","ArchiValue",66,0.909,0.518
"6","IITA","AYT","FirstBranchHeight","ArchiValue",1936,0.83,0.457
"7","IITA","CET","FirstBranchHeight","ArchiValue",2361,0.923,0.471
"8","IITA","PYT","FirstBranchHeight","ArchiValue",5922,0.752,0.401
"9","IITA","UYT","FirstBranchHeight","ArchiValue",2441,0.683,0.379
"10","NRCRI","AYT","FirstBranchHeight","ArchiValue",1022,0.795,0.39
"11","NRCRI","CET","FirstBranchHeight","ArchiValue",3311,0.622,0.35
"12","NRCRI","PYT","FirstBranchHeight","ArchiValue",45,0.548,0.222
"13","NRCRI","UYT","FirstBranchHeight","ArchiValue",683,0.777,0.425
"14","IITA","AYT","PlantHeight","ArchiValue",2434,1.831,0.493
"15","IITA","CET","PlantHeight","ArchiValue",2185,1.961,0.566
"16","IITA","PYT","PlantHeight","ArchiValue",6173,1.789,0.48
"17","IITA","UYT","PlantHeight","ArchiValue",2853,1.626,0.433
"18","NRCRI","AYT","PlantHeight","ArchiValue",1605,1.693,0.445
"19","NRCRI","CET","PlantHeight","ArchiValue",3360,1.662,0.437
"20","NRCRI","PYT","PlantHeight","ArchiValue",518,1.828,0.474
"21","NRCRI","UYT","PlantHeight","ArchiValue",1177,1.87,0.514
