Trait,Trial,VarG,VarE,Mean,H2,CV,PEV,Ac
BranchlevelNum,14.GS.C1.EC.331.IK,1.13910483496975,0.330985591381623,2.82076051079865,0.9,0.203956865559121,0.152882347533841,0.9
BranchlevelNum,21.GS.C4B.PYT.272.IB,0.309312821765411,0.180090521181311,-0.316010123575196,0.8,-1.3429023435615,0.0502733303547233,0.9
BranchlevelNum,16.GS.C3.CET.259.IB,0.467040594395081,0.57710386155846,2.71742482456916,0.7,0.279556408015017,0.163843251875624,0.8
BranchlevelNum,18.GS.C4B.CET.560.IK,1.6122383810905,0.557336351832855,2.44006991904152,1,0.305954196380247,0.0587590661449611,1
BranchlevelNum,18.GS.C4B.CET.600.setA.IK,0,1.39333333333333,3.6,0,0.32788761499307,0,NA
BranchlevelNum,18.GS.C4B.CET.600.setB.IK,1.89427399245639,0.347515911678972,1.8,1,0.327502667823916,0.0379303279834376,1
BranchlevelNum,20.GS.C5.CE.820.IB,0.10803241061096,0.151329035900872,0.999999999999994,0.8,0.389010328784305,0.0233794154727591,0.9
BranchlevelNum,19.GS.C4C.CE.822.IB,0.707614343431789,0.679911248544541,2.0517093805188,0.9,0.401892840049655,0.103129982890188,0.9
FirstBranchHeight,19cet30PdIB,0,2.25,5,0,0.3,0,NA
FirstBranchHeight,18CET122highTCIK,0.333333344766984,0.16666666285545,3,0.8,0.136082761932032,0.0666666659044233,0.9
FirstBranchHeight,19C2bCETnonGSumu,0.0355099984518238,0.0795240010702677,1.038,0.5,0.271676302406202,0.0187579524450874,0.7
FirstBranchHeight,19cet72selflineIB,8.06131809779886e-09,0.444444436383126,5,0,0.133333332124136,8.06131793330596e-09,0
FirstBranchHeight,21.CET.96.YRT.HAWAII.IB,5.34014813835813e-31,5.31637531657907e-31,5,0.8,1.45826956583192e-16,1.06422258661402e-31,0.9
FirstBranchHeight,18CET416highDMIK,0.300000607288802,0.0999999532855842,2.50000000000001,1,0.126491076861941,0.0147321379116107,1
FirstBranchHeight,18clonalevalPDIB,0.00810174284738453,0.259259350155603,1.66666666666667,0.1,0.305505099885447,0.00701034040403958,0.4
FirstBranchHeight,21.CET.171.CIAT.IB,0.00793650791038748,0.0873015873184888,4.66666666666667,0.4,0.0633146614652659,0.00485008817403181,0.6
FirstBranchHeight,21.GS.C4B.PYT.272.IB,0.0586278170044833,0.01017751632885,0.220000000000036,0.9,0.458562169168696,0.00369873775175337,1
FirstBranchHeight,21cet284highTCIB,0,0.0606060606060606,5,0,0.0492365963917331,0,NA
FirstBranchHeight,21cet325highTCIB,0,0.133333333333333,5.00000000000001,0,0.073029674334022,0,NA
FirstBranchHeight,16.GS.C3.CET.259.IB,0.18744979453552,0.065022838230094,0.780662179741315,0.9,0.326640341773371,0.0156272122502015,1
FirstBranchHeight,17clonalevaIB,2.02773773331592,0.722203979226863,3.00000000000003,1,0.283275284097927,0.0542759354374426,1
FirstBranchHeight,17clonalevalpdIB,0,0.168055555555556,1.99999999999999,0,0.204972897937482,0,NA
FirstBranchHeight,19C2bCETGSumu,0,0.02719825,0.302000000000001,0,0.546089137326388,0,NA
FirstBranchHeight,18clonalevalHighTCIB,0,0.2125,3.99999999999999,0,0.115244305716161,0,NA
FirstBranchHeight,19introLatAmeumu,0.0416177888813483,0.0149448581186044,0.462427159243439,1,0.264364152575773,0.00207674246012347,1
FirstBranchHeight,18.GS.C4B.CET.560.IK,0.510765064629283,0.421930118539887,0.712079928035155,0.9,0.91220304933556,0.0682883891977259,0.9
FirstBranchHeight,18.GS.C4B.CET.600.setA.IK,0.00228579260076411,0.0764615061998321,0.747399999999998,0.2,0.369971551576952,0.00184389651611506,0.4
FirstBranchHeight,18.GS.C4B.CET.600.setB.IK,0.108008338825851,0.102577125618212,1.24701457051771,0.9,0.256834720919532,0.0111401949653665,0.9
FirstBranchHeight,17clonalevalhighdmyldIB,0.282707166609806,0.304642856695603,2.5,1,0.220777845517381,0.00503754920328562,1
FirstBranchHeight,20.GS.C5.CE.820.IB,0.0718730776573921,2.37484906307637,4.31844821727879,0.1,0.356853770619193,0.0633537383817895,0.3
FirstBranchHeight,18clonalevalHighDMIB,0.616666676118989,0.666228070041212,2.49999999999971,1,0.326491180901749,0.00864329104204691,1
FirstBranchHeight,19.GS.C4C.CE.822.IB,0.0783347054270674,0.0984651242868509,1.47171994541051,0.9,0.213214158684202,0.0152308116382481,0.9
PlantHeight,19C2bCETnonGSumu,0,0.048103,2.711,0,0.0809014980816162,0,NA
PlantHeight,21.GS.C4B.PYT.272.IB,0.000562978114280455,0.0131590149785694,0.62020513715117,0.1,0.18495936744212,0.00049894010802829,0.3
PlantHeight,16C1aCETnonGSKano,0.0207521366347775,0.0275376408328144,0.833166695019342,0.8,0.199173458423054,0.00463571383531339,0.9
PlantHeight,16.GS.C3.CET.259.IB,0.0178894349212338,0.0553107887720077,1.59747851291482,0.6,0.147221046523442,0.00741370757324615,0.8
PlantHeight,19C2bCETGSumu,0.00630635196458617,0.0147473147915641,0.9075,0.8,0.133816553921272,0.00119522889428646,0.9
PlantHeight,19introLatAmeumu,0.013833712253588,0.694172439973073,1.73925,0.2,0.479039881941246,0.0104891945805918,0.5
PlantHeight,18.GS.C4B.CET.560.IK,0.445651379294461,0.571312741168855,1.92500000000001,0.9,0.392650559802693,0.0516244523025795,0.9
