Trait,Breeding program,Trial design,Year,Location,nb Trials,nb clones
BranchlevelNum,IITA,Alpha,4,9,31,2289
BranchlevelNum,IITA,Augmented,4,3,5,1348
BranchlevelNum,IITA,CRD,2,2,2,49
BranchlevelNum,IITA,RCBD,8,7,40,1362
BranchlevelNum,NRCRI,Alpha,1,1,1,25
FirstBranchHeight,IITA,Alpha,4,10,34,2042
FirstBranchHeight,IITA,Augmented,5,3,6,924
FirstBranchHeight,IITA,CRD,2,2,2,49
FirstBranchHeight,IITA,RCBD,9,12,67,1931
FirstBranchHeight,NRCRI,Alpha,4,3,7,594
FirstBranchHeight,NRCRI,Augmented,1,1,3,419
FirstBranchHeight,NRCRI,RCBD,5,5,30,266
PlantHeight,IITA,Alpha,4,12,37,2080
PlantHeight,IITA,Augmented,3,2,3,758
PlantHeight,IITA,CRD,5,7,10,119
PlantHeight,IITA,RCBD,9,23,88,1818
PlantHeight,NRCRI,Alpha,5,3,12,964
PlantHeight,NRCRI,Augmented,2,2,3,581
PlantHeight,NRCRI,RCBD,6,7,50,679
