Trait,Breeding program,Trial design,Year,Location,nb Trials,nb clones
Compact_type,IITA,Alpha,2,1,5,163
Compact_type,IITA,Augmented,2,3,4,1764
Compact_type,IITA,RCBD,2,4,6,96
Cylindrical_type,IITA,Augmented,2,3,4,1764
Cylindrical_type,IITA,RCBD,1,2,3,64
Erectibility,IITA,Alpha,2,1,3,87
Erectibility,IITA,Augmented,2,3,3,1289
Erectibility,IITA,RCBD,2,4,8,138
Open_type,IITA,Alpha,2,1,3,87
Open_type,IITA,Augmented,2,2,3,1410
Open_type,IITA,RCBD,2,4,8,137
Umbrella_type,IITA,Alpha,2,1,3,87
Umbrella_type,IITA,Augmented,2,3,3,1289
Umbrella_type,IITA,RCBD,2,4,8,138
