diff,lwr,upr,p.adj,
NRCRI:AYT-IITA:AYT,-0.035134377,-0.082684201,0.012415447,0.327829111
IITA:CET-IITA:AYT,0.093017034,0.055311077,0.13072299,3.40E-08
NRCRI:CET-IITA:AYT,-0.208173363,-0.24335785,-0.172988877,3.40E-08
IITA:PYT-IITA:AYT,-0.078112534,-0.110308176,-0.045916892,3.40E-08
NRCRI:PYT-IITA:AYT,-0.282104327,-0.467547674,-0.09666098,0.000109281
IITA:UYT-IITA:AYT,-0.147118356,-0.184544895,-0.109691818,3.40E-08
NRCRI:UYT-IITA:AYT,-0.053328599,-0.10805951,0.001402311,0.062522609
IITA:CET-NRCRI:AYT,0.128151411,0.082103969,0.174198853,3.40E-08
NRCRI:CET-NRCRI:AYT,-0.173038986,-0.217045529,-0.129032442,3.40E-08
IITA:PYT-NRCRI:AYT,-0.042978157,-0.084633734,-0.001322579,0.037487908
NRCRI:PYT-NRCRI:AYT,-0.24696995,-0.434287495,-0.059652405,0.001659417
IITA:UYT-NRCRI:AYT,-0.111983979,-0.1578029,-0.066165057,3.40E-08
NRCRI:UYT-NRCRI:AYT,-0.018194222,-0.078973333,0.042584889,0.98546081
NRCRI:CET-IITA:CET,-0.301190397,-0.334316357,-0.268064436,3.40E-08
IITA:PYT-IITA:CET,-0.171129568,-0.201061833,-0.141197302,3.40E-08
NRCRI:PYT-IITA:CET,-0.375121361,-0.560185177,-0.190057545,5.69E-08
IITA:UYT-IITA:CET,-0.24013539,-0.275633657,-0.204637123,3.40E-08
NRCRI:UYT-IITA:CET,-0.146345633,-0.199776464,-0.092914802,3.40E-08
IITA:PYT-NRCRI:CET,0.130060829,0.1033747,0.156746958,3.40E-08
NRCRI:PYT-NRCRI:CET,-0.073930964,-0.258497551,0.110635623,0.92801276
IITA:UYT-NRCRI:CET,0.061055007,0.028247449,0.093862565,5.12E-07
NRCRI:UYT-NRCRI:CET,0.154844764,0.103162439,0.206527089,3.40E-08
NRCRI:PYT-IITA:PYT,-0.203991793,-0.388012,-0.019971587,0.017787134
IITA:UYT-IITA:PYT,-0.069005822,-0.098585328,-0.039426317,3.40E-08
NRCRI:UYT-IITA:PYT,0.024783935,-0.02491188,0.074479749,0.801443353
IITA:UYT-NRCRI:PYT,0.134985971,-0.050021117,0.31999306,0.34455242
NRCRI:UYT-NRCRI:PYT,0.228775728,0.039507797,0.418043659,0.006081041
NRCRI:UYT-IITA:UYT,0.093789757,0.040555742,0.147023772,2.64E-06
