Individual ID,Cylindrical_type,Umbrella_type,Open_type,Compact_type,Erectibility
TMS14F1305P0006,1,0,0,0,0
TMS14F1102P0001,0,1,0,0,0
TMS14F1307P0006,0,1,0,0,0
TMS14F1161P0002,0,1,0,0,0
TMS14F1035P0006,0,1,0,0,0
IITA-TMS-IBA30572,0,1,0,0,0
TMS14F1236P0005,0,1,0,0,0
TMS14F1223P0003,0,0,0,0,0
TMS14F1298P0012,0,1,0,0,0
TMS14F1288P0009,0,0,0,0,0
TMS14F1100P0002,1,0,0,0,0
IITA-TMS-IBA993073,0,0,0,0,0
TMS14F1170P0013,0,1,0,0,0
TMS14F1278P0009,1,0,0,0,0
TMS14F1296P0003,1,0,0,0,0
TMS14F1011P0001,0,1,0,0,0
TMS14F1308P0017,0,1,0,0,0
TMS14F1240P0002,0,1,0,0,0
TMS14F1023P0003,0,1,0,0,0
TMS14F1067P0007,0,0,0,0,0
TMS14F1273P0010,1,0,0,0,0
TMS14F1014P0015,0,1,0,0,0
TMS14F1262P0001,0,1,0,0,0
TMS14F1281P0007,0,1,0,0,0
TMS14F1057P0009,0,1,0,0,0
TMS14F1248P0001,1,0,0,0,0
TMS14F1243P0006,0,1,0,0,0
TMS14F1104P0001,0,1,0,0,0
TMS14F1308P0020,0,1,0,0,0
TMS14F1129P0005,0,1,0,0,0
TMS14F1163P0008,0,1,0,0,0
TMS14F1091P0010,0,0,0,0,0
TMEB419,1,0,0,0,0
TMS14F1013P0004,0,1,0,0,0
TMS14F1306P0011,0,1,0,0,0
TMS14F1297P0006,0,1,0,0,0
TMS14F1277P0011,0,1,0,0,0
TMS14F1151P0003,0,1,0,0,0
TMS14F1026P0001,0,0,0,0,0
TMS14F1060P0012,0,0,0,0,0
TMS14F1299P0012,0,1,0,0,0
TMS14F1199P0005,0,0,0,0,0
TMS14F1130P0004,0,0,0,0,0
TMS14F1153P0008,0,0,0,0,0
TMS14F1012P0002,0,1,0,0,0
TMS14F1118P0001,0,0,0,0,0
IITA-TMS-MOK980068,0,1,0,0,0
TMS14F1305P0019,0,1,0,0,0
TMS14F1293P0018,1,0,0,0,0
TMS14F1167P0001,0,1,0,0,0
TMS14F1173P0009,0,1,0,0,0
TMS14F1311P0017,1,0,0,0,0
TMS14F1035P0003,1,0,0,0,0
TMS14F1284P0020,1,0,0,0,0
TMS14F1027P0011,0,1,0,0,0
TMS14F1101P0001,1,0,0,0,0
TMS14F1186P0003,0,1,0,0,0
TMS14F1245P0004,0,1,0,0,0
TMS14F1263P0002,0,0,0,0,0
TMS14F1265P0002,0,1,0,0,0
TMS14F1052P0004,1,0,0,0,0
TMS14F1121P0007,1,0,0,0,0
TMS14F1294P0011,0,1,0,0,0
TMS14F1031P0002,0,1,0,0,0
TMS14F1293P0009,0,1,0,0,0
TMS14F1156P0002,0,1,0,0,0
TMS14F1200P0002,1,0,0,0,0
TMS14F1205P0012,1,0,0,0,0
TMS14F1195P0001,0,1,0,0,0
TMS14F1250P0005,0,1,0,0,0
TMS14F1196P0003,0,1,0,0,0
TMS14F1133P0004,1,0,0,0,0
TMS14F1106P0004,0,0,0,0,0
TMS14F1285P0009,0,1,0,0,0
TMS14F1282P0018,0,1,0,0,0
TMS14F1020P0012,0,0,0,0,0
TMS14F1241P0001,0,0,0,0,0
TMS14F1012P0012,0,0,0,0,0
IITA-TMS-IBA950279,0,1,0,0,0
TMS14F1308P0001,0,1,0,0,0
TMS14F1259P0006,0,1,0,0,0
TMS14F1199P0002,0,0,0,0,0
TMS14F1095P0001,0,1,0,0,0
TMS14F1091P0002,0,1,0,0,0
TMS14F1307P0001,0,1,0,0,0
TMS14F1260P0002,0,0,0,0,0
TMS14F1186P0008,0,0,0,0,0
TMS14F1176P0004,0,1,0,0,0
TMS14F1071P0001,0,1,0,0,0
TMS14F1218P0001,0,1,0,0,0
TMS14F1145P0006,1,0,0,0,0
TMS14F1095P0012,0,0,0,0,0
TMS14F1228P0001,0,1,0,0,0
TMS14F1060P0009,0,0,0,0,0
TMS14F1305P0002,0,1,0,0,0
TMS14F1074P0012,0,1,0,0,0
TMS14F1120P0005,0,1,0,0,0
TMS14F1201P0006,0,1,0,0,0
TMS14F1295P0008,0,1,0,0,0
TMS14F1036P0005,0,1,0,0,0
TMS14F1299P0005,0,1,0,0,0
IITA-TMS-IBA980581,0,1,0,0,0
TMS14F1258P0001,1,0,0,0,0
TMS14F1295P0001,0,1,0,0,0
TMS14F1248P0005,0,1,0,0,0
TMS14F1287P0004,0,1,0,0,0
TMS14F1138P0003,0,0,0,0,0
TMS14F1247P0009,0,0,0,0,0
TMS14F1287P0007,1,0,0,0,0
TMS14F1131P0004,0,1,0,0,0
TMS14F1059P0020,0,1,0,0,0
TMS14F1023P0008,0,1,0,0,0
TMS14F1301P0007,1,0,0,0,0
TMS14F1202P0003,0,0,0,0,0
TMS14F1312P0001,0,1,0,0,0
TMS14F1307P0009,0,1,0,0,0
