programName,Year,Trait,nb_Trials
IITA,2014,branching.habit.visual.observation.1.4.CO_334.0000140,3
IITA,2015,branching.habit.visual.observation.1.4.CO_334.0000140,2
IITA,2020,branching.habit.visual.observation.1.4.CO_334.0000140,1
IITA,2021,branching.habit.visual.observation.1.4.CO_334.0000140,5
NRCRI,2012,branching.level.counting.CO_334.0000079,1
IITA,2013,branching.level.counting.CO_334.0000079,6
NRCRI,2013,branching.level.counting.CO_334.0000079,1
IITA,2014,branching.level.counting.CO_334.0000079,11
IITA,2015,branching.level.counting.CO_334.0000079,5
IITA,2016,branching.level.counting.CO_334.0000079,29
IITA,2017,branching.level.counting.CO_334.0000079,28
IITA,2018,branching.level.counting.CO_334.0000079,31
IITA,2019,branching.level.counting.CO_334.0000079,30
IITA,2020,branching.level.counting.CO_334.0000079,16
IITA,2021,branching.level.counting.CO_334.0000079,14
IITA,2022,branching.level.counting.CO_334.0000079,1
NRCRI,2011,branching.visual.rating.0.3.CO_334.0000139,1
IITA,2021,branching.visual.rating.0.3.CO_334.0000139,5
IITA,2014,female.flower.incidence.in.proportion.CO_334.0000235,3
IITA,2015,female.flower.incidence.in.proportion.CO_334.0000235,5
NRCRI,2010,first.apical.branch.height.measurement.in.cm.CO_334.0000106,1
NRCRI,2011,first.apical.branch.height.measurement.in.cm.CO_334.0000106,1
NRCRI,2012,first.apical.branch.height.measurement.in.cm.CO_334.0000106,2
IITA,2013,first.apical.branch.height.measurement.in.cm.CO_334.0000106,6
NRCRI,2013,first.apical.branch.height.measurement.in.cm.CO_334.0000106,3
IITA,2014,first.apical.branch.height.measurement.in.cm.CO_334.0000106,31
IITA,2015,first.apical.branch.height.measurement.in.cm.CO_334.0000106,35
IITA,2016,first.apical.branch.height.measurement.in.cm.CO_334.0000106,55
NRCRI,2016,first.apical.branch.height.measurement.in.cm.CO_334.0000106,1
IITA,2017,first.apical.branch.height.measurement.in.cm.CO_334.0000106,83
NRCRI,2017,first.apical.branch.height.measurement.in.cm.CO_334.0000106,2
IITA,2018,first.apical.branch.height.measurement.in.cm.CO_334.0000106,68
NRCRI,2018,first.apical.branch.height.measurement.in.cm.CO_334.0000106,16
IITA,2019,first.apical.branch.height.measurement.in.cm.CO_334.0000106,48
NRCRI,2019,first.apical.branch.height.measurement.in.cm.CO_334.0000106,14
IITA,2020,first.apical.branch.height.measurement.in.cm.CO_334.0000106,37
NRCRI,2020,first.apical.branch.height.measurement.in.cm.CO_334.0000106,15
IITA,2021,first.apical.branch.height.measurement.in.cm.CO_334.0000106,25
IITA,2022,first.apical.branch.height.measurement.in.cm.CO_334.0000106,1
IITA,2014,flower.visual.rating.0.1.CO_334.0000111,3
NRCRI,2016,flower.visual.rating.0.1.CO_334.0000111,1
IITA,2014,flowering.ability.visual.assessment.0.3.CO_334.0000233,3
IITA,2015,flowering.ability.visual.assessment.0.3.CO_334.0000233,5
NRCRI,2010,plant.architecture.visual.rating.1.5.CO_334.0000099,4
IITA,2011,plant.architecture.visual.rating.1.5.CO_334.0000099,1
NRCRI,2011,plant.architecture.visual.rating.1.5.CO_334.0000099,5
NRCRI,2012,plant.architecture.visual.rating.1.5.CO_334.0000099,4
IITA,2013,plant.architecture.visual.rating.1.5.CO_334.0000099,14
NRCRI,2013,plant.architecture.visual.rating.1.5.CO_334.0000099,11
IITA,2014,plant.architecture.visual.rating.1.5.CO_334.0000099,43
NRCRI,2014,plant.architecture.visual.rating.1.5.CO_334.0000099,1
IITA,2015,plant.architecture.visual.rating.1.5.CO_334.0000099,67
NRCRI,2015,plant.architecture.visual.rating.1.5.CO_334.0000099,5
IITA,2016,plant.architecture.visual.rating.1.5.CO_334.0000099,66
NRCRI,2016,plant.architecture.visual.rating.1.5.CO_334.0000099,3
IITA,2017,plant.architecture.visual.rating.1.5.CO_334.0000099,85
NRCRI,2017,plant.architecture.visual.rating.1.5.CO_334.0000099,9
IITA,2018,plant.architecture.visual.rating.1.5.CO_334.0000099,67
NRCRI,2018,plant.architecture.visual.rating.1.5.CO_334.0000099,20
IITA,2019,plant.architecture.visual.rating.1.5.CO_334.0000099,47
NRCRI,2019,plant.architecture.visual.rating.1.5.CO_334.0000099,28
IITA,2020,plant.architecture.visual.rating.1.5.CO_334.0000099,26
NRCRI,2020,plant.architecture.visual.rating.1.5.CO_334.0000099,21
IITA,2021,plant.architecture.visual.rating.1.5.CO_334.0000099,15
IITA,2022,plant.architecture.visual.rating.1.5.CO_334.0000099,1
NRCRI,2010,plant.height.measurement.in.cm.CO_334.0000018,4
NRCRI,2011,plant.height.measurement.in.cm.CO_334.0000018,4
IITA,2012,plant.height.measurement.in.cm.CO_334.0000018,1
NRCRI,2012,plant.height.measurement.in.cm.CO_334.0000018,2
IITA,2013,plant.height.measurement.in.cm.CO_334.0000018,4
