,het.snp,maf,r
3,0.476472967507078,0.366455440204935,0.997022886374144
4,0.475933665902656,0.366859916408251,-0.294196835300994
9,0.12444384522044,0.0670756370500202,0.900884974409776
14,0.337602804368343,0.203990831872725,0.998702766623608
15,0.337872455170554,0.203990831872725,0.479891460874952
17,0.10678171767561,0.0577052716731832,0.904089366805404
40,0.0978832412026426,0.0527167318322772,-0.100596901830827
43,0.241202642577862,0.135162464608332,-0.288420093199233
47,0.465417284616422,0.366320614803829,0.748811604240011
58,0.190912767965485,0.109073749494405,-0.263052117022012
60,0.354186328704328,0.22711338816233,0.962251642681389
61,0.332883915329648,0.219832816502629,0.996004041465388
71,0.352433598489956,0.226506673857355,1
80,0.226506673857355,0.12808413105029,0.611049288479856
81,0.414992584602939,0.276257246865309,0.545877792777958
90,0.31670486719698,0.196777672913577,-0.346394284094355
93,0.328704327895376,0.212080355939059,0.99980158822081
97,0.34528785223136,0.225091007145746,0.999808893860622
108,0.45665363354456,0.357489551031414,0.718823653225516
109,0.344209249022516,0.222664149925846,-0.202201475127443
119,0.233787245517055,0.12929755966024,0.940105312453277
122,0.481191856545773,0.365579075097748,0.467284604861611
125,0.441418363219631,0.300525819064312,0.996460910500054
128,0.440070109208575,0.30119994606984,0.594030375294929
133,0.278144802480787,0.176014561143319,0.911551687798603
141,0.327086423082109,0.203047054064986,0.805672703201322
144,0.0920857489551031,0.0544020493460968,0.94003198467086
151,0.091816098152892,0.0515707159228799,0.986964821157679
153,0.398274234865849,0.267358770392342,0.998600632895012
159,0.398678711069165,0.272819199137117,-0.250158474140067
160,0.286908453552649,0.169071052986383,0.771400127282009
163,0.42105972765269,0.302076311177026,0.74408538178045
167,0.477551570715923,0.418093568828367,-0.529668517953627
171,0.238910610759067,0.136847782122152,0.571999543230011
202,0.467844141836322,0.365511662397196,0.856663544295686
235,0.427531346905757,0.314749898880949,0.999225760345957
239,0.371848456249157,0.247404611028718,-0.343492675196039
240,0.400296615882432,0.268100310098423,-0.20144255787316
241,0.142914925171902,0.0748280976135904,-0.199623501369944
242,0.391398139409465,0.262976944856411,-0.230250828190773
245,0.418498045031684,0.295537279223406,0.993328626377341
246,0.418363219630578,0.295469866522853,-0.316325589936425
268,0.306592962114062,0.193609275987596,-0.324609053302063
271,0.405015504921127,0.321423756235675,-0.506965528293961
276,0.441553188620736,0.344681137926385,0.664658414169961
279,0.410678171767561,0.322637184845625,-0.468553094872832
280,0.431036807334502,0.328367264392612,0.692018467659139
284,0.299716866657678,0.188418498045032,-0.30644331997251
290,0.410812997168667,0.30558177160577,0.999384476772844
295,0.411352298773089,0.305312120803559,-0.317019523916044
297,0.298098961844411,0.187205069435082,1
306,0.304166104894162,0.190777942564379,-0.301492726655245
308,0.35715248752865,0.238303896454092,-0.362281464065445
312,0.358096265336389,0.238910610759067,0.999817451189942
313,0.358231090737495,0.23897802345962,-0.358765964175382
319,0.410812997168667,0.286841040852096,0.837584297191125
333,0.294054199811244,0.183160307401914,1
337,0.371174329243629,0.269853040312795,-0.404082105623412
352,0.349737090467844,0.222461911824188,0.997642534125486
359,0.416340838613995,0.31427800997708,-0.399165134614111
372,0.146285560199542,0.0846029391937441,-0.120042882146826
374,0.248618039638668,0.152217877848187,-0.0749808178162572
391,0.16367803694216,0.0965349871915869,0.96898354626291
403,0.313199406768235,0.203788593771067,-0.0748936435633716
412,0.520695699069705,0.455844681137926,0.601339589056873
414,0.519886746663071,0.45422677632466,0.998713525495537
421,0.155049211271404,0.084940002696508,-0.259536256476729
436,0.0461102871781044,0.0244033976001079,0.183468603156182
441,0.368208170419307,0.267021706889578,-0.0498131057846792
452,0.0461102871781044,0.0242685721990022,-0.121417994109641
454,0.0841310502898746,0.0444923823648375,0.29610751295766
456,0.191721720372118,0.108804098692194,0.582307281477942
460,0.416206013212889,0.290346501280841,0.829840931826065
462,0.480248078738034,0.372927059458002,0.936369823192747
471,0.45085614129702,0.331670486719698,0.999690685999639
473,0.503977349332614,0.43535122016988,-0.382238791470041
477,0.49467439665633,0.407240124039369,-0.364184560604099
481,0.412430901981933,0.283874882027774,0.998654260616327
485,0.45665363354456,0.378252662801672,-0.3891926320707
487,0.419306997438317,0.303222327086423,0.67141071726004
491,0.483483888364568,0.426587569098018,0.29060764673919
498,0.427261696103546,0.332412026425779,0.644453942910061
502,0.126735877039234,0.0687609545638398,-0.211157949130945
505,0.359848995550762,0.225360657947957,-0.132581412209245
507,0.34987191586895,0.229135769178913,0.999244030609054
518,0.495078872859647,0.487663475798841,-0.23844906402767
519,0.471888903869489,0.39031953620062,-0.290166265620851
522,0.372118107051368,0.236214102736956,-0.17506138075092
523,0.196710260213024,0.111163543211541,0.997962082927456
525,0.2372927059458,0.136847782122152,-0.127034076627314
526,0.193609275987596,0.109478225697721,0.966271382331352
528,0.190238640959957,0.109275987596063,1
544,0.402318996899016,0.275178643656465,0.996082710095161
546,0.257651341512741,0.152150465147634,0.631744139491199
548,0.415127410004045,0.312727517864366,0.998786991041241
561,0.355804233517595,0.243157610893892,0.61568310503244
565,0.357961439935284,0.24383173789942,-0.278254488294531
567,0.333153566131859,0.231832277201025,0.584587372043497
573,0.256033436699474,0.151611163543212,-0.163949092586774
578,0.513415127410004,0.442901442631792,0.990518051475876
581,0.255763785897263,0.149723607927734,-0.121952283876629
587,0.4697316974518,0.365916138600512,0.586023618299093
589,0.392881218821626,0.270999056222192,0.999152079153553
607,0.26803289739787,0.166779021167588,0.991327274264956
